id,name,description,enabled,verify_email,remember_me
59,Alphazap,LDR Brachytherapy of Brain Stem using Iodine 125,false,true,true
60,Kanlam,"Excision of Acoustic Nerve, Percutaneous Endoscopic Approach",true,false,false
61,Tampflex,"Occlusion Hepatic Vein w Intralum Dev, Perc Endo",false,false,true
62,Wrapsafe,"Occlusion of R Temporal Art with Extralum Dev, Open Approach",true,false,true
63,Holdlamis,"Supplement Lg Intest with Nonaut Sub, Perc Endo Approach",false,true,true
64,Treeflex,"Insertion of Intramed Fix into L Humeral Head, Open Approach",false,true,false
65,Hatity,"Release Bilateral Lungs, Open Approach",true,true,true
66,Fintone,"Supplement R Int Carotid with Autol Sub, Perc Approach",false,false,true
67,Matsoft,"Restrict Abd Aorta, Bifurc, w Intralum Dev, Perc Endo",false,true,false
68,Prodder,"Replace of Sup Vena Cava with Nonaut Sub, Perc Endo Approach",true,true,false
69,Cookley,"Bypass R Com Iliac Art to R Renal A, Perc Endo Approach",false,false,false
70,Vagram,"Insertion of Limb Length Dev into R Tibia, Perc Approach",true,true,false
71,Zoolab,"Dilation of Inf Mesent Art with Intralum Dev, Perc Approach",true,false,false
72,Fintone,"Extraction of Right Maxillary Sinus, Open Approach",true,false,false
73,Prodder,"Introduce of Electrol/Water Bal into Mouth/Phar, Via Opening",true,true,true
74,Bamity,"Reposition Left Carpal Joint with Int Fix, Perc Approach",false,false,true
75,Flowdesk,"Dilation of L Com Iliac Art, Bifurc, Perc Endo Approach",true,true,true
76,Tres-Zap,"Extraction of Left Pleura, Percutaneous Endoscopic Approach",false,true,true
77,Otcom,"Repair Right Lower Arm, External Approach",false,false,true
78,Ventosanzap,Plain Radiography of Sup Mesent Art using L Osm Contrast,false,false,true
79,Lotstring,"Excision of Right Vocal Cord, Via Opening",false,false,false
80,Tempsoft,"Excision of Right Upper Extremity, Open Approach, Diagnostic",true,false,true
81,Fintone,"Bypass Portal Vein to Low Vein w Autol Sub, Perc Endo",false,false,true
82,Bitchip,"Repair Left Ulna, Percutaneous Approach",true,true,true
83,Zathin,"Dilate L Popl Art, Bifurc, w Intralum Dev, Perc",true,true,true
84,Span,"Dilate of L Temporal Art with 3 Intralum Dev, Perc Approach",false,false,false
85,It,"Reposition Left Ulna with Ring Ext Fix, Perc Approach",true,true,false
86,Fixflex,"Release Right Clavicle, Open Approach",false,true,true
87,Redhold,"Bypass L Int Iliac Art to B Femor A w Nonaut Sub, Open",true,true,true
88,Regrant,Hyperthermia of Buttock Skin,true,true,true
89,Prodder,"Reposition Bilateral Testes, Percutaneous Approach",true,false,false
90,Sonair,"Insertion of Monitor Dev into R Pulm Vein, Open Approach",true,true,true
91,Alpha,"Dilate R Ulnar Art, Bifurc, w 3 Intralum Dev, Open",false,true,true
92,Alphazap,"Repair Right Common Iliac Vein, Percutaneous Approach",true,true,false
93,Cardify,"Resection of R Thorax Bursa/Lig, Perc Endo Approach",true,true,true
94,Bamity,"Repair Para-aortic Body, Percutaneous Approach",false,true,true
95,Cookley,"Insertion of Feeding Device into Esophagus, Via Opening",true,true,true
96,Lotstring,LDR Brachytherapy of Kidney using Californium 252,false,true,true
97,Zaam-Dox,"Replacement of Hepatic Artery with Nonaut Sub, Open Approach",false,false,true
98,Veribet,"Reposition Right Knee Joint with Int Fix, Extern Approach",false,false,false
99,Asoka,"Extirpation of Matter from Right Humeral Head, Perc Approach",true,false,true
100,Zamit,"Excision of Bilateral Vas Deferens, Percutaneous Approach",false,true,true
101,Quo Lux,"Excision of Right Basilic Vein, Open Approach, Diagnostic",false,false,true
102,Duobam,"Bypass Colic Vein to Lower Vein, Open Approach",false,true,false
103,Gembucket,"Bypass Superior Vena Cava to L Pulm Art, Perc Endo Approach",false,true,false
104,Lotstring,"Destruction of Hepatic Artery, Open Approach",true,false,true
105,Zontrax,"Bypass Cecum to Cutaneous, Endo",false,false,true
106,Flexidy,"Ear, Nose, Sinus, Reattachment",true,true,true
107,Zathin,"Repair Right Ulnar Artery, Percutaneous Approach",false,false,true
108,Latlux,Beam Radiation of Adrenal Glands using Photons 1 - 10 MeV,false,false,true
109,Subin,"Dilate L Renal Art, Bifurc, w 3 Intralum Dev, Perc Endo",false,false,true
110,Domainer,"Drainage of Left Renal Vein, Perc Endo Approach, Diagn",true,false,true
111,Toughjoyfax,CT Scan of L Hip using H Osm Contrast,true,true,false
112,Konklux,"Excision of Innominate Artery, Perc Endo Approach",false,false,false
113,Gembucket,"Insertion of Intralum Dev into R Verteb Vein, Perc Approach",true,true,false
114,Rank,"Control Bleeding in Right Hand, Open Approach",false,false,true
115,Overhold,"Performance of Cardiac Output, Continuous",false,false,true
116,Rank,Beam Radiation of Nasopharynx using Neutron Capture,true,true,true
117,Fixflex,"Bypass L Great Saphenous to Low Vein w Synth Sub, Perc Endo",true,true,false
118,Otcom,"Reposition Facial Nerve, Percutaneous Endoscopic Approach",true,false,false
119,Sonair,"Restrict of Ampulla Vater with Extralum Dev, Open Approach",true,false,false
120,Toughjoyfax,"Release Aortic Lymphatic, Percutaneous Approach",true,true,true
121,Voyatouch,Hyperthermia of Parathyroid Glands,true,false,true
122,Transcof,"Repair Left Mastoid Sinus, Open Approach",false,true,false
123,Y-find,"Revision of Infusion Dev in L Sacroiliac Jt, Open Approach",true,false,true
124,Kanlam,Low Dose Rate (LDR) Brachytherapy of Brain using Oth Isotope,true,true,true
125,Lotlux,"Excision of Left Thorax Bursa and Ligament, Perc Approach",true,false,false
126,Gembucket,"Drainage of Uvula, Percutaneous Approach",true,false,true
127,Ventosanzap,"Bypass Ileum to Transverse Colon, Endo",false,false,true
128,Konklab,"Ultrasonography of Bi Int Carotid, Intravasc",true,true,false
129,Bytecard,"Drainage of L Axilla Art with Drain Dev, Perc Endo Approach",false,false,false
130,Overhold,"Bypass Esophageal Vein to Low Vein w Autol Sub, Open",false,false,false
131,Andalax,"Excision of Left Radius, Open Approach",true,true,false
132,Vagram,"Drainage of L Ext Iliac Art with Drain Dev, Open Approach",true,true,true
133,Toughjoyfax,Tomo Nucl Med Imag of Head & Neck using Technetium 99m,true,true,false
134,Kanlam,Plain Radiography of Bi Ext Carotid using Oth Contrast,false,true,true
135,Zathin,"Removal of Spacer from T-lum Jt, Perc Approach",true,true,true
136,Konklab,"Introduce Oth Antineoplastic in Central Art, Open",false,false,false
137,Ventosanzap,"Fusion of R Carpal Jt with Int Fix, Perc Endo Approach",true,false,true
138,Quo Lux,"Release Thoracic Vertebral Joint, External Approach",false,false,true
139,Bigtax,Caregiver Training in Therapeutic Exercise using Orthosis,false,true,true
140,Zoolab,"Replace of Azygos Vein with Autol Sub, Perc Endo Approach",false,false,true
141,Lotlux,"Drainage of L Wrist Bursa/Lig with Drain Dev, Perc Approach",true,false,false
142,Temp,"Dilate R Axilla Art, Bifurc, w 3 Drug-elut, Open",false,true,false
143,Job,"Transfer Left Abdomen Bursa and Ligament, Open Approach",false,true,true
144,Opela,"Excision of Right Thorax Muscle, Perc Endo Approach",false,false,false
145,Voltsillam,Plain Radiography of L Low Extrem Vein using Oth Contrast,false,false,true
146,Subin,"Dilation of Low Art with 4+ Intralum Dev, Perc Endo Approach",true,false,true
147,Prodder,"Drainage of Right Knee Tendon, Perc Endo Approach",true,true,true
148,Treeflex,"Restrict L Ext Iliac Vein w Extralum Dev, Open",false,true,true
149,Ronstring,"Bypass Abd Aorta to B Ext Ilia with Autol Art, Open Approach",false,false,true
150,Overhold,"Bypass Stomach to Duodenum with Autol Sub, Endo",false,false,false
151,Stringtough,"Introduction of Oxazolidinones into Upper GI, Via Opening",false,false,true
152,Y-Solowarm,"Supplement Atrial Septum with Nonaut Sub, Open Approach",false,false,true
153,Bamity,"Excision of Face, Percutaneous Approach, Diagnostic",true,false,false
154,Mat Lam Tam,"Transfer R Low Arm & Wrist Tendon, Perc Endo Approach",false,true,false
155,Fintone,"Drainage of Left Toe Phalangeal Joint, Open Approach",false,true,true
156,Cardguard,"Supplement R Toe Phalanx with Nonaut Sub, Perc Endo Approach",true,true,false
157,Zoolab,"Replace of R Occipital Bone with Autol Sub, Perc Approach",false,true,false
158,Zamit,"Restriction of Left Ureter, Percutaneous Endoscopic Approach",false,true,true
159,Sonsing,"Excision of Right Ankle Joint, Percutaneous Approach",false,true,true
160,Otcom,"Reposition Right Abdomen Tendon, Open Approach",true,true,false
161,Prodder,"Dilate R Subclav Art, Bifurc, w 4 Drug-elut, Open",false,false,true
162,It,"Insertion of Infusion Device into R Elbow Jt, Open Approach",true,false,true
163,Fintone,"Dilate of L Verteb Art with 2 Drug-elut, Perc Endo Approach",false,true,true
164,Zathin,Beam Radiation of Buttock Skin using Neutron Capture,true,true,true
165,Span,"Destruction of Right Wrist Joint, Perc Endo Approach",false,true,false
166,Tempsoft,"Extirpation of Matter from Upper Vein, Percutaneous Approach",false,true,false
167,Flowdesk,"Inspection of Upper Jaw, Percutaneous Approach",false,false,false
168,Zaam-Dox,"Repair Cul-de-sac, Percutaneous Endoscopic Approach",true,false,true
169,Domainer,"Repair Right Patella, Percutaneous Approach",false,false,true
170,Namfix,"Reposition Left Trunk Tendon, Perc Endo Approach",false,false,false
171,Asoka,"Release Left Elbow Joint, Percutaneous Approach",false,false,false
172,Namfix,"Excision of Right Finger Phalanx, Open Approach",false,false,true
173,Asoka,"Revision of Drainage Device in Pineal Body, Open Approach",true,true,true
174,Rank,"Inspection of Left Temporomandibular Joint, Perc Approach",true,false,true
175,Bytecard,"Destruction of Left Pulmonary Vein, Open Approach",true,false,false
176,Duobam,"Tomo Nucl Med Imag Musculo Sys, Oth w Oth Radionuclide",false,true,false
177,Viva,"Supplement R Up Arm Muscle w Synth Sub, Perc Endo",true,false,false
178,Prodder,"Excision of R Low Extrem Lymph, Perc Endo Approach, Diagn",true,true,false
179,Y-Solowarm,"Removal of Nonaut Sub from L Toe Phalanx, Perc Endo Approach",false,true,false
180,Kanlam,"Release Left Lacrimal Duct, Via Opening",false,false,false
181,Konklab,"Fusion of R Metatarsophal Jt with Int Fix, Open Approach",true,true,false
182,Viva,"Insertion of Stimulator Lead into Low Muscle, Perc Approach",false,false,false
183,Konklab,"Excision of Left Ethmoid Bone, Open Approach, Diagnostic",false,true,false
184,Stim,Exercise Trmt Integu Low Back/LE w Aerobic Equip,false,true,true
185,Stronghold,"Drainage of Right Foot Artery, Perc Endo Approach, Diagn",false,true,false
186,Lotlux,"Revision of Synth Sub in L Radius, Extern Approach",true,true,false
187,Mat Lam Tam,"Removal of Synth Sub from L Up Femur, Perc Approach",true,true,false
188,Ronstring,Therapeutic Exercise Treatment of Neuro Up Back/UE,true,true,false
189,Latlux,"Drainage of Right Large Intestine with Drainage Device, Endo",true,true,false
190,Latlux,"Excision of Urethra, Via Opening, Diagn",true,true,true
191,Bitchip,"Drainage of Right Upper Lung Lobe, Perc Endo Approach, Diagn",false,false,true
192,Bigtax,"Destruction of Right Main Bronchus, Open Approach",true,true,false
193,Bitwolf,"Drainage of Right Toe Phalanx, Percutaneous Approach, Diagn",false,false,true
194,Alphazap,"Revision of Nonaut Sub in L Eye, Perc Approach",false,false,true
195,Voltsillam,"Insertion of Radioact Elem into L Buttock, Open Approach",false,true,true
196,Temp,"Dilate L Radial Art, Bifurc, w 2 Drug-elut, Perc",false,true,false
197,Greenlam,"Revision of Autol Sub in Trunk Subcu/Fascia, Perc Approach",true,false,false
198,Tampflex,"Supplement Right 5th Toe with Synth Sub, Perc Endo Approach",false,true,true
199,Regrant,Feeding/Eating Treatment using Prosthesis,true,true,true
200,Zontrax,"Revision of Intraluminal Device in Right Ear, Endo",false,true,false
201,Subin,"Excision of Right Upper Leg, Percutaneous Approach",true,false,false
202,Stim,"Repair Conduction Mechanism, Perc Endo Approach",true,false,false
203,Y-Solowarm,"Supplement R Fem Art with Synth Sub, Open Approach",true,true,true
204,Stringtough,"Destruction of Left Metatarsal, Open Approach",false,true,true
205,Overhold,"Chiropractic Manipulation of Lumbar Region, Extra-Articular",true,false,true
206,Daltfresh,"Revision of Int Fix in L Low Femur, Open Approach",true,false,false
207,Opela,"Transfer Lumbar Nerve to Lumbar Nerve, Perc Endo Approach",false,false,false
208,Treeflex,"Extirpate matter from R Ulnar Art, Bifurc, Perc Endo",true,false,true
209,Sonsing,"Bypass Cereb Vent to Atrium with Nonaut Sub, Open Approach",true,false,true
210,Duobam,"Supplement R Neck Muscle with Autol Sub, Perc Endo Approach",false,true,false
211,Job,"Chiropractic Manipulation Thoracic Region, Indirect Visceral",true,true,true
212,Greenlam,"Revision of Synth Sub in R Scapula, Perc Endo Approach",false,false,false
213,Redhold,"Transfer Hypoglossal Nerve to Facial Nerve, Open Approach",true,true,false
214,Temp,"Supplement Face Artery with Synth Sub, Perc Endo Approach",true,false,true
215,Matsoft,"Chiropractic Manipulation of Pelvis, Extra-Articular",true,true,false
216,Regrant,"Repair Right Pleura, Percutaneous Endoscopic Approach",true,true,true
217,Zoolab,"Removal of Autol Sub from Ureter, Via Opening",true,true,false
218,Y-Solowarm,"Revision of Autol Sub in Low Art, Perc Approach",false,false,false
219,Zontrax,"Reposition R Sternoclav Jt with Int Fix, Perc Approach",true,false,false
220,Domainer,"Repair Ear, Nose & Sinus in POC with Oth Dev, Perc Approach",true,true,false
221,Treeflex,Immobilization of Left Upper Extremity using Other Device,false,true,true
222,Andalax,"Replacement of R Knee Tendon with Nonaut Sub, Open Approach",true,false,true
223,Lotlux,"Bypass Jejunum to Ileum with Nonaut Sub, Perc Endo Approach",true,true,true
224,Ventosanzap,"Drainage of Left Common Iliac Artery, Open Approach, Diagn",false,false,false
225,Greenlam,"Bypass R Popl Art to Poplit Art, Perc Endo Approach",true,false,true
226,Regrant,Motor Function Treatment of Integu Body,false,false,true
227,Fintone,"Change Drainage Device in Mesentery, External Approach",false,false,true
228,Konklux,"Insert of Limb Length Dev into L Femur Shaft, Open Approach",true,false,false
229,Namfix,"Removal of Infusion Device from Cranial Nrv, Extern Approach",true,true,true
230,Aerified,"Irrigation of Cran Cav/Brain using Irrigat, Perc Approach",true,false,false
231,Fix San,"Removal of Autologous Tissue Substitute from Penis, Endo",true,false,false
232,Stringtough,"Insertion of Ring Ext Fix into L Ulna, Open Approach",false,true,false
233,Bamity,"Bypass Left Femoral Artery to Low Ex Art, Open Approach",true,false,false
234,Tempsoft,"Revise of Nonaut Sub in R Sternoclav Jt, Perc Endo Approach",true,false,false
235,Fixflex,"Insertion of Infusion Device into L Tarsal Jt, Open Approach",false,false,true
236,Wrapsafe,"Removal of Autol Sub from L Patella, Open Approach",false,true,true
237,Bitwolf,"Restriction of R Radial Art with Intralum Dev, Perc Approach",true,false,true
238,Aerified,"Supplement Ascending Colon with Autol Sub, Endo",false,true,true
239,Tin,"Transfer Trochlear Nerve to Olfact Nrv, Perc Endo Approach",false,false,true
240,Tresom,"Supplement Right Testis with Autol Sub, Open Approach",false,true,true
241,Veribet,"Resection of Adenoids, Open Approach",false,true,false
242,Sub-Ex,"Release Right Temporal Bone, Open Approach",true,false,true
243,Pannier,"Removal of Oth Dev from Male Perineum, Perc Endo Approach",true,false,true
244,Zamit,Planar Nucl Med Imag Hepatobil Sys & Panc w Oth Radionuclide,false,true,false
245,Bitchip,"Insertion of Ext Fix into L Maxilla, Perc Endo Approach",false,false,false
246,Vagram,"Dilation of Upper Vein, Open Approach",true,true,true
247,Stronghold,"Dilation of Right Lower Lobe Bronchus, Open Approach",false,false,false
248,Konklab,"Drainage of Pelvic Cavity, Perc Endo Approach, Diagn",false,false,false
249,Zontrax,"Extirpate matter from Conduction Mechanism, Perc Endo",false,true,true
250,Zamit,"Bypass R Int Jugular Vein to Up Vein w Nonaut Sub, Perc Endo",false,false,false
251,Solarbreeze,"Supplement L Toe Phalanx Jt w Autol Sub, Perc Endo",false,false,false
252,Home Ing,"Supplement Left Foot Vein with Nonaut Sub, Perc Approach",true,true,false
253,Opela,"Division of Left Metacarpal, Open Approach",false,false,true
254,Y-Solowarm,Fluoroscopy of Left Common Carotid Artery,true,false,true
255,Home Ing,"Restriction of Gastric Vein with Intralum Dev, Perc Approach",false,true,true
256,Stim,"Release Bilateral Seminal Vesicles, Open Approach",true,true,true
257,Latlux,"Excision of Right Vocal Cord, Open Approach",true,false,false
258,Lotlux,"Fluoroscopy of Left Renal Vein, Guidance",false,false,false
259,Home Ing,Bed Mobility Treatment using Other Equipment,false,true,true
260,Lotstring,"Bypass Left Internal Jugular Vein to Up Vein, Open Approach",true,true,false
261,Zontrax,"Dilate of R Great Saphenous with Intralum Dev, Perc Approach",true,false,true
262,Redhold,"Removal of Infusion Dev from Resp Tract, Perc Endo Approach",true,true,false
263,Vagram,"Replacement of L Ankle Jt with Synth Sub, Open Approach",false,false,true
264,Tres-Zap,"Insertion of Int Fix into L Patella, Open Approach",true,false,true
265,Tempsoft,"Revision of Spacer in R Toe Phalanx Jt, Extern Approach",false,true,true
266,Hatity,"Replace R Parietal Bone w Nonaut Sub, Perc Endo",true,false,true
267,Pannier,"Replacement of R Hip Jt, Acetab with Metal, Open Approach",false,false,true
268,Cookley,"Insertion of Ext Fix into R Metatarsotars Jt, Perc Approach",true,false,true
269,Sub-Ex,"Revision of Synthetic Substitute in Diaphragm, Perc Approach",true,false,false
270,Sonsing,"Destruction of Stomach, Pylorus, Via Opening",true,false,false
271,Konklux,"Extirpate matter from L Low Leg Subcu/Fascia, Perc",true,true,false
272,Sub-Ex,"Revision of Autol Sub in R Wrist Jt, Open Approach",false,false,true
273,Cookley,"Revision of Extraluminal Device in Left Eye, Via Opening",true,false,false
274,Voltsillam,"Bypass Portal Vein to R Renal Vein w Autol Sub, Perc Endo",true,true,false
275,Hatity,"Supplement Left Nipple with Nonaut Sub, Extern Approach",true,false,true
276,Voltsillam,"Removal of Spacer from Lumbosacral Joint, Perc Approach",true,true,false
277,Bitchip,"Occlusion of Right Common Carotid Artery, Perc Endo Approach",true,true,true
278,Aerified,"Drainage of Nasopharynx, Endo",false,true,false
279,Lotlux,"Extirpation of Matter from Prepuce, External Approach",true,false,false
280,Zontrax,"Reposition Left Finger Phalangeal Joint, Perc Endo Approach",true,true,false
281,Regrant,"Bypass R Int Iliac Art to R Femor A w Nonaut Sub, Open",false,false,false
282,Zathin,"Bypass L Femor Vein to Low Vein w Synth Sub, Open",true,true,true
283,Domainer,Plain Radiography of Bi Int Carotid using Oth Contrast,true,false,false
284,Bitwolf,"Drainage of Left Main Bronchus, Percutaneous Approach",false,false,false
285,Sonsing,"Extirpation of Matter from Bi Sperm Cord, Perc Approach",true,true,false
286,Cardify,"Transfer Hypogloss Nrv to Accessory Nrv, Perc Endo Approach",false,false,true
287,Flowdesk,"Repair Coronary Vein, Percutaneous Approach",true,true,false
288,Gembucket,"Dilate L Axilla Art, Bifurc, w Intralum Dev, Perc",false,true,true
289,Cookley,"Change Other Device in Left Lower Extremity, Extern Approach",true,true,true
290,Flexidy,Packing of Right Lower Leg using Packing Material,false,false,false
291,Flexidy,"Drainage of Head Muscle, Percutaneous Approach",true,true,false
292,Ronstring,"Bypass Abd Aorta to L Renal A w Synth Sub, Perc Endo",true,true,false
293,Quo Lux,"Supplement L Int Carotid with Synth Sub, Perc Approach",true,false,true
294,Namfix,"Reposition Median Nerve, Percutaneous Approach",true,false,true
295,Sub-Ex,"Inspection of Sacrococcygeal Joint, Percutaneous Approach",false,false,false
296,Veribet,"Dilate Innom Art, Bifurc, w Intralum Dev, Open",true,true,false
297,Konklux,"Excision of Left Atrium, Percutaneous Endoscopic Approach",false,false,true
298,Cardguard,"Removal of Intralum Dev from Pancreas, Extern Approach",true,true,true
299,Aerified,"Replacement of Cystic Duct with Nonaut Sub, Open Approach",false,false,true
300,Tres-Zap,"Reattachment of Right Index Finger, Open Approach",true,false,true
301,Veribet,"Removal of Synthetic Substitute from Lymph, Open Approach",false,false,false
302,Konklab,"Substance Abuse Treatment, Group Counseling",false,false,true
303,Tres-Zap,"Excision of Coccyx, Percutaneous Endoscopic Approach, Diagn",true,false,false
304,Flowdesk,"Extirpate matter from R Temporal Art, Bifurc, Perc",false,false,false
305,Andalax,"Supplement Tricusp Valve fr R AV Vlv w Nonaut Sub, Open",true,false,true
306,Otcom,Fluoroscopy of R Up Extrem Art using L Osm Contrast,false,true,true
307,Rank,"Destruction of Right Fallopian Tube, Via Opening",false,true,true
308,Overhold,"Inspection of Male Perineum, Perc Endo Approach",false,true,false
309,Matsoft,"Dilation of R Foot Art with Intralum Dev, Open Approach",true,false,true
310,Bamity,"Repair Rectum, Via Natural or Artificial Opening",true,true,true
311,Andalax,MRI of Bladder using Oth Contrast,false,true,false
312,Lotstring,"Transfer Cervical Nerve to Cervical Nrv, Perc Endo Approach",false,false,false
313,Quo Lux,"Insert of Neuro Lead into Spinal Canal, Perc Endo Approach",false,true,true
314,Pannier,"Bypass L Subclav Art to R Extracran Art w Autol Art, Open",false,true,false
315,Lotlux,"Insertion of Infusion Dev into L Axilla Art, Open Approach",true,true,false
316,Fintone,"Drainage of R Zygomatic Bone with Drain Dev, Open Approach",false,false,true
317,Viva,"Removal of Autol Sub from T-lum Jt, Open Approach",true,false,true
318,It,Voice Prosthetic Assessment using Computer,false,false,true
319,Namfix,"Removal of Intralum Dev from Vas Deferens, Extern Approach",true,false,false
320,Voyatouch,"Fusion of R Ankle Jt with Autol Sub, Perc Endo Approach",false,true,false
321,Bigtax,"Bypass Trans Colon to Desc Colon w Nonaut Sub, Open",false,true,true
322,Trippledex,"Introduce Oth Antineoplastic in Pleural Cav, Via Opening",false,false,false
323,Aerified,"Excision of Left Temporomandibular Joint, Open Approach",true,false,false
324,Keylex,"Occlusion R Up Lobe Bronc w Extralum Dev, Perc",true,false,true
325,Flowdesk,"Drainage of Carina with Drainage Device, Perc Endo Approach",false,false,false
326,Tampflex,"Remove Radioact Elem from R Pleural Cav, Perc Endo",true,false,true
327,Hatity,"Supplement L Metatarsotars Jt with Synth Sub, Open Approach",false,false,true
328,Matsoft,"Fluoroscopy of Left Pelvic (Iliac) Veins, Guidance",true,true,false
329,Tin,"Dilation of Coronary Artery, Two Arteries, Open Approach",false,true,true
330,Lotstring,"Supplement Cystic Duct with Autol Sub, Perc Approach",false,false,false
331,Y-Solowarm,"Dilate of R Peroneal Art with 3 Intralum Dev, Perc Approach",false,true,false
332,Konklux,"Insertion of Int Fix into L Up Femur, Perc Approach",false,false,true
333,Y-find,"Reposition Coccyx, Percutaneous Approach",true,false,true
334,Bytecard,"Inspection of Cranial Nerve, Perc Endo Approach",true,false,false
335,Stim,"Remove Contracept Dev from Up Extrem Subcu/Fascia, Extern",true,true,false
336,Domainer,"Occlusion of Right Main Bronchus, Open Approach",true,true,true
337,Andalax,"Supplement Superior Vena Cava with Autol Sub, Open Approach",true,false,true
338,Prodder,"Transfuse Autol Bone Marrow in Periph Art, Perc",false,true,false
339,Trippledex,"Drainage of L Metacarpophal Jt, Open Approach, Diagn",false,true,true
340,Mat Lam Tam,Motor Functn Trmt Integu Up Back/UE w Assist Equip,false,false,true
