id,name,description,enabled,verify_email,remember_me
51,Trippledex,"Supplement Pericardium with Zooplastic, Perc Endo Approach",false,false,false
52,Flowdesk,"Alteration of Left External Ear, Perc Endo Approach",false,false,true
53,Flexidy,"Bypass 1 Cor Art from L Int Mammary w Synth Sub, Open",false,false,false
54,Y-find,"Bypass L Great Saphenous to Low Vein, Perc Endo Approach",false,false,true
55,Hatity,"Dilation of Right Renal Artery, Bifurcation, Perc Approach",true,true,true
56,Treeflex,"Insertion of Spacer into Left Shoulder Joint, Perc Approach",false,true,false
57,Greenlam,"Occlusion of Right External Jugular Vein, Open Approach",false,false,false
58,Stronghold,"Excision of Right Abdomen Muscle, Perc Endo Approach",true,false,false
59,Tresom,"Revision of Radioact Elem in Cranial Cav, Perc Endo Approach",false,true,false
60,Veribet,"Drainage of Right Maxilla with Drain Dev, Perc Endo Approach",true,true,true
61,Mat Lam Tam,"Supplement L Int Mamm Art with Autol Sub, Perc Approach",true,true,true
62,Tampflex,Transfer Training Treatment using Electrotherap Equipment,false,true,false
63,Viva,"Removal of Autol Sub from Diaphragm, Via Opening",true,true,false
64,Stringtough,"Transfuse Nonaut Fibrinogen in Central Art, Open",false,true,false
65,Toughjoyfax,"Supplement Left Orbit with Nonaut Sub, Open Approach",true,false,false
66,Mat Lam Tam,"Insertion of Intralum Dev into R Int Mamm Art, Perc Approach",false,true,false
67,Bitchip,"Transfer Right Hip Muscle with Subcu, Open Approach",true,true,false
68,Rank,"Revision of Nonaut Sub in Thor Jt, Extern Approach",true,false,true
69,Aerified,"CT Scan Kidney Transplant w Oth Contrast, Unenh, Enhance",false,true,true
70,Latlux,"Occlusion R Low Extrem Lymph w Intralum Dev, Perc",true,false,false
71,Redhold,"Inspection of Lower Muscle, Percutaneous Approach",true,false,false
72,Y-Solowarm,CT Scan of Bi Submandib Gland using L Osm Contrast,true,true,false
73,Matsoft,"Drainage of Right Large Intestine with Drainage Device, Endo",false,false,true
74,Treeflex,"Occlusion of R Innom Vein with Extralum Dev, Perc Approach",true,true,true
75,Zoolab,"Revision of Int Fix in Nasal Bone, Extern Approach",false,false,false
76,Bamity,"Repair Hepatobil & Pancr in POC with Oth Dev, Via Opening",true,true,true
77,Andalax,"Excision of Left Vertebral Vein, Perc Endo Approach",true,false,true
78,Trippledex,"Bypass Right Kidney Pelvis to Cutaneous, Perc Endo Approach",false,true,false
79,Vagram,"Bypass R Pulm Art from Carotid w Zooplastic, Perc Endo",true,true,false
80,Job,"Remove Monitor Dev from Trunk Subcu/Fascia, Extern",false,false,true
81,Fix San,"Dilate of R Temporal Art with 3 Intralum Dev, Open Approach",true,false,false
82,Treeflex,"Occlusion of Left Atrial Appendage, Perc Endo Approach",false,false,true
83,Temp,"Revision of Ext Fix in L Low Femur, Perc Approach",false,true,false
84,Alpha,"Dilate L Int Iliac Art, Bifurc, w 3 Drug-elut, Perc Endo",false,true,false
85,Transcof,"Occlusion of Ampulla of Vater, Perc Endo Approach",true,false,true
86,Temp,"Supplement Innominate Artery with Autol Sub, Open Approach",true,false,false
87,Greenlam,"Excision of Tongue, External Approach, Diagnostic",true,true,false
88,Lotstring,"Revision of Autol Sub in Coccygeal Jt, Perc Approach",false,false,false
89,Lotlux,"Excision of Right Tympanic Membrane, Endo",true,true,false
90,Bamity,"Resection of Right Trunk Tendon, Open Approach",true,false,false
91,Transcof,"Drainage of Right Glenoid Cavity, Percutaneous Approach",false,true,true
92,Matsoft,"Nuclear Medicine, Central Nervous Sys, Tomo Nucl Med Imag",false,false,true
93,Prodder,"Reattachment of R Wrist Bursa/Lig, Open Approach",false,true,true
94,Viva,"Revision of Autologous Tissue Substitute in Urethra, Endo",true,true,false
95,Job,"Resection of Ascending Colon, Endo",false,false,true
96,Duobam,"Fusion of Left Metacarpocarpal Joint, Open Approach",true,false,false
97,Flowdesk,"Excision of Left Ear Skin, External Approach, Diagnostic",false,true,false
98,Sub-Ex,"Drainage of Coccygeal Joint with Drain Dev, Perc Approach",false,false,true
99,Stim,"Drainage of L Verteb Vein with Drain Dev, Perc Endo Approach",false,true,false
100,Daltfresh,"Occlusion of Ileum with Extralum Dev, Perc Endo Approach",true,true,true
